drg_definition,year,ttl_discharges,yoy_discharges,medicare_payment_ratio,medicare_segment,avg_hospital_charged,yoy_hos_charged,avg_patient_paid,yoy_patient_paid,avg_medicare_covered,yoy_medicare_covered
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2012,64515,-3.22,0.93,High Medicare Dependency,52390.21,1.96,14036.78,1.29,13010.53,1.12
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2013,67660,4.87,0.9,High Medicare Dependency,53292.31,1.72,14199.22,1.16,12738.03,-2.09
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2014,63390,-6.31,0.89,High Medicare Dependency,53710.57,0.78,13681.61,-3.65,12210.33,-4.14
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2015,67498,6.48,0.89,High Medicare Dependency,54388.61,1.26,13414.41,-1.95,11906.86,-2.49
234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,2014,15620,,0.85,High Medicare Dependency,145708.75,,32933.4,,28119.03,
234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,2015,14971,-4.15,0.85,High Medicare Dependency,153496.33,5.34,33355.18,1.28,28392.91,0.97
388 - G.I. OBSTRUCTION W MCC,2014,8858,,0.86,High Medicare Dependency,47716.87,,12358.91,,10682.01,
388 - G.I. OBSTRUCTION W MCC,2015,9526,7.54,0.85,High Medicare Dependency,47055.51,-1.39,12270.91,-0.71,10378.96,-2.84
"443 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",2014,136,,0.71,Moderate Medicare Dependency,22458.54,,6302.84,,4446.74,
"443 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",2015,144,5.88,0.68,Moderate Medicare Dependency,23276.44,3.64,7871.08,24.88,5381.21,21.01
672 - URETHRAL PROCEDURES W/O CC/MCC,2014,18,,0.73,Moderate Medicare Dependency,30181.0,,10845.0,,7953.0,
152 - OTITIS MEDIA & URI W MCC,2014,364,,0.8,Moderate Medicare Dependency,36810.89,,10388.08,,8325.65,
152 - OTITIS MEDIA & URI W MCC,2015,2935,706.32,0.8,Moderate Medicare Dependency,29784.14,-19.09,8234.97,-20.73,6552.97,-21.29
291 - HEART FAILURE & SHOCK W MCC,2011,185599,,0.92,High Medicare Dependency,38219.63,,10408.77,,9524.56,
291 - HEART FAILURE & SHOCK W MCC,2012,182445,-1.7,0.92,High Medicare Dependency,39630.31,3.69,10578.06,1.63,9691.91,1.76
291 - HEART FAILURE & SHOCK W MCC,2013,192040,5.26,0.88,High Medicare Dependency,41219.71,4.01,10858.44,2.65,9597.65,-0.97
291 - HEART FAILURE & SHOCK W MCC,2014,198889,3.57,0.88,High Medicare Dependency,41891.03,1.63,10848.02,-0.1,9560.0,-0.39
291 - HEART FAILURE & SHOCK W MCC,2015,221654,11.45,0.88,High Medicare Dependency,43425.71,3.66,10854.06,0.06,9535.32,-0.26
"734 - PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC",2014,276,,0.85,High Medicare Dependency,79754.47,,22700.68,,19320.53,
"734 - PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC",2015,263,-4.71,0.8,Moderate Medicare Dependency,84693.73,6.19,22249.69,-1.99,17815.59,-7.79
822 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,2014,117,,0.71,Moderate Medicare Dependency,53378.78,,13973.69,,9979.83,
822 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,2015,166,41.88,0.73,Moderate Medicare Dependency,50328.14,-5.72,14041.63,0.49,10217.92,2.39
220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,2014,22723,,0.89,High Medicare Dependency,164123.56,,40125.18,,35813.45,
220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,2015,17520,-22.9,0.88,High Medicare Dependency,163862.85,-0.16,39300.02,-2.06,34669.55,-3.19
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,2014,1946,,0.87,High Medicare Dependency,67504.88,,15905.39,,13768.45,
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,2015,1849,-4.98,0.87,High Medicare Dependency,74770.45,10.76,15765.68,-0.88,13663.12,-0.77
"494 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",2014,9338,,0.79,Moderate Medicare Dependency,48061.49,,11547.56,,9154.46,
"494 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",2015,8305,-11.06,0.79,Moderate Medicare Dependency,50960.76,6.03,11936.07,3.36,9414.41,2.84
518 - BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,2015,1077,,0.89,High Medicare Dependency,82678.67,,20669.28,,18451.57,
660 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,2014,3880,,0.81,High Medicare Dependency,60943.48,,16491.47,,13293.2,
660 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,2015,3522,-9.23,0.79,Moderate Medicare Dependency,63639.53,4.42,16980.0,2.96,13493.92,1.51
906 - HAND PROCEDURES FOR INJURIES,2015,15,,0.88,High Medicare Dependency,40779.0,,12147.0,,10676.0,
907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC,2014,3266,,0.86,High Medicare Dependency,119070.28,,34935.66,,30205.39,
907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC,2015,3376,3.37,0.86,High Medicare Dependency,127862.96,7.38,33893.55,-2.98,29053.7,-3.81
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,2011,17478,,0.85,High Medicare Dependency,26715.94,,7337.4,,6209.54,
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,2012,16796,-3.9,0.84,High Medicare Dependency,28263.87,5.79,7545.35,2.83,6324.39,1.85
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,2013,15770,-6.11,0.79,Moderate Medicare Dependency,29970.26,6.04,7705.13,2.12,6049.08,-4.35
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,2014,13803,-12.47,0.79,Moderate Medicare Dependency,31794.15,6.09,8317.83,7.95,6546.92,8.23
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,2015,13876,0.53,0.79,Moderate Medicare Dependency,32776.95,3.09,8233.75,-1.01,6499.09,-0.73
519 - BACK & NECK PROC EXC SPINAL FUSION W CC,2015,8116,,0.81,High Medicare Dependency,55439.82,,12782.8,,10303.6,
"579 - OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC",2014,624,,0.86,High Medicare Dependency,75120.68,,19689.21,,16844.34,
"579 - OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC",2015,570,-8.65,0.85,High Medicare Dependency,83513.19,11.17,21020.53,6.76,17942.52,6.52
602 - CELLULITIS W MCC,2011,17714,,0.89,High Medicare Dependency,37974.39,,10525.13,,9402.53,
602 - CELLULITIS W MCC,2012,18106,2.21,0.89,High Medicare Dependency,38356.11,1.01,10581.37,0.53,9409.4,0.07
602 - CELLULITIS W MCC,2013,18203,0.54,0.85,High Medicare Dependency,39953.33,4.16,10953.02,3.51,9348.06,-0.65
602 - CELLULITIS W MCC,2014,18665,2.54,0.86,High Medicare Dependency,40576.13,1.56,10834.81,-1.08,9285.05,-0.67
602 - CELLULITIS W MCC,2015,19328,3.55,0.85,High Medicare Dependency,42509.22,4.76,10739.87,-0.88,9159.64,-1.35
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,2011,21659,,0.82,High Medicare Dependency,25325.33,,6501.26,,5322.94,
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,2012,19380,-10.52,0.82,High Medicare Dependency,26654.26,5.25,6696.49,3.0,5459.79,2.57
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,2013,16474,-14.99,0.76,Moderate Medicare Dependency,28371.78,6.44,7140.65,6.63,5455.84,-0.07
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,2014,15438,-6.29,0.79,Moderate Medicare Dependency,30554.84,7.69,7535.52,5.53,5916.69,8.45
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,2015,14332,-7.16,0.77,Moderate Medicare Dependency,32364.6,5.92,7536.44,0.01,5796.61,-2.03
"580 - OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",2014,1479,,0.78,Moderate Medicare Dependency,53266.1,,12959.2,,10058.87,
"580 - OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",2015,1498,1.28,0.7,Moderate Medicare Dependency,56632.05,6.32,14666.4,13.17,10322.61,2.62
828 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,2014,23,,0.86,High Medicare Dependency,56065.83,,13109.0,,11303.0,
828 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,2015,60,160.87,0.81,High Medicare Dependency,76272.65,36.04,15745.35,20.11,12736.7,12.68
"082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",2014,962,,0.83,High Medicare Dependency,69962.6,,18701.25,,15439.52,
"082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",2015,1058,9.98,0.84,High Medicare Dependency,70570.34,0.87,18454.13,-1.32,15423.38,-0.1
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,2014,1773,,0.76,Moderate Medicare Dependency,62151.51,,16112.16,,12180.15,
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,2015,2038,14.95,0.74,Moderate Medicare Dependency,71901.32,15.69,16840.07,4.52,12462.93,2.32
218 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,2014,126,,0.91,High Medicare Dependency,124429.37,,44943.16,,40887.21,
218 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,2015,52,-58.73,0.86,High Medicare Dependency,160043.94,28.62,42450.42,-5.55,36371.1,-11.05
453 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,2014,297,,0.92,High Medicare Dependency,377873.19,,98924.93,,90683.09,
453 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,2015,334,12.46,0.91,High Medicare Dependency,403442.55,6.77,94493.97,-4.48,85742.88,-5.45
637 - DIABETES W MCC,2013,14396,,0.85,High Medicare Dependency,39636.67,,10735.06,,9089.66,
637 - DIABETES W MCC,2014,13967,-2.98,0.86,High Medicare Dependency,40313.16,1.71,10802.88,0.63,9239.93,1.65
637 - DIABETES W MCC,2015,16424,17.59,0.84,High Medicare Dependency,41622.39,3.25,10676.93,-1.17,9018.14,-2.4
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,2014,1663,,0.86,High Medicare Dependency,50382.54,,11692.39,,10073.84,
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,2015,1276,-23.27,0.85,High Medicare Dependency,51930.32,3.07,11955.29,2.25,10135.29,0.61
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,2014,2575,,0.68,Moderate Medicare Dependency,40199.12,,13591.01,,9220.71,
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,2015,2564,-0.43,0.84,High Medicare Dependency,39589.2,-1.52,10763.19,-20.81,9085.45,-1.47
232 - CORONARY BYPASS W PTCA W/O MCC,2015,14,,0.94,High Medicare Dependency,174882.0,,41050.0,,38734.0,
471 - CERVICAL SPINAL FUSION W MCC,2014,512,,0.92,High Medicare Dependency,157835.09,,41829.72,,38314.26,
471 - CERVICAL SPINAL FUSION W MCC,2015,569,11.13,0.88,High Medicare Dependency,152479.82,-3.39,40065.85,-4.22,35335.47,-7.77
515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,2014,351,,0.86,High Medicare Dependency,86765.21,,25245.91,,21654.05,
515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,2015,482,37.32,0.87,High Medicare Dependency,93840.48,8.15,24460.15,-3.11,21367.06,-1.33
657 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,2014,3442,,0.82,High Medicare Dependency,67434.91,,17239.47,,14100.52,
657 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,2015,3756,9.12,0.78,Moderate Medicare Dependency,68562.7,1.67,17634.02,2.29,13777.27,-2.29
727 - INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,2015,14,,0.17,Low Medicare Dependency,115403.0,,41267.0,,7196.0,
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,2014,25,,0.96,High Medicare Dependency,58756.36,,7342.72,,7028.32,
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,2015,37,48.0,0.9,High Medicare Dependency,20141.22,-65.72,7527.43,2.52,6756.89,-3.86
857 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,2014,2899,,0.83,High Medicare Dependency,62737.3,,16862.82,,13992.75,
857 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,2015,2757,-4.9,0.83,High Medicare Dependency,67672.7,7.87,16994.95,0.78,14071.27,0.56
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,2011,149677,,0.87,High Medicare Dependency,30161.8,,8121.58,,7083.97,
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,2012,140495,-6.13,0.87,High Medicare Dependency,31202.06,3.45,8026.44,-1.17,6965.49,-1.67
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,2013,150332,7.0,0.84,High Medicare Dependency,32521.27,4.23,8324.63,3.72,6983.75,0.26
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,2014,134793,-10.34,0.84,High Medicare Dependency,33358.69,2.57,8434.31,1.32,7068.69,1.22
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,2015,141959,5.32,0.84,High Medicare Dependency,34327.53,2.9,8418.09,-0.19,7045.56,-0.33
221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,2014,2520,,0.89,High Medicare Dependency,138606.07,,35419.6,,31503.9,
221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,2015,1548,-38.57,0.85,High Medicare Dependency,135105.45,-2.53,35138.02,-0.79,29817.66,-5.35
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",2011,21596,,0.8,Moderate Medicare Dependency,23000.16,,5539.07,,4405.43,
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",2012,19948,-7.63,0.78,Moderate Medicare Dependency,24254.48,5.45,5532.04,-0.13,4322.6,-1.88
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",2013,18952,-4.99,0.75,Moderate Medicare Dependency,25462.54,4.98,5552.94,0.38,4166.95,-3.6
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",2014,15815,-16.55,0.76,Moderate Medicare Dependency,26567.62,4.34,5827.0,4.94,4450.24,6.8
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",2015,14950,-5.47,0.75,Moderate Medicare Dependency,27288.46,2.71,5781.29,-0.78,4345.06,-2.36
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",2011,244854,,0.79,Moderate Medicare Dependency,20321.56,,5097.08,,4012.55,
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",2012,215483,-12.0,0.78,Moderate Medicare Dependency,22059.39,8.55,5266.78,3.33,4124.67,2.79
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",2013,197086,-8.54,0.75,Moderate Medicare Dependency,23145.9,4.93,5466.35,3.79,4074.61,-1.21
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",2014,190375,-3.41,0.76,Moderate Medicare Dependency,24260.14,4.81,5894.98,7.84,4503.39,10.52
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",2015,182443,-4.17,0.75,Moderate Medicare Dependency,25308.36,4.32,5836.17,-1.0,4394.41,-2.42
908 - OTHER O.R. PROCEDURES FOR INJURIES W CC,2014,2859,,0.8,Moderate Medicare Dependency,63107.67,,17550.31,,14018.97,
908 - OTHER O.R. PROCEDURES FOR INJURIES W CC,2015,2588,-9.48,0.8,Moderate Medicare Dependency,68080.66,7.88,17574.78,0.14,14089.64,0.5
"956 - LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA",2014,875,,0.84,High Medicare Dependency,138382.12,,35198.97,,29512.27,
"956 - LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA",2015,1076,22.97,0.84,High Medicare Dependency,136374.37,-1.45,33591.63,-4.57,28342.44,-3.96
116 - INTRAOCULAR PROCEDURES W CC/MCC,2014,13,,0.91,High Medicare Dependency,22805.0,,14573.0,,13264.0,
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,2014,94,,0.81,High Medicare Dependency,65078.74,,14923.39,,12035.3,
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,2015,112,19.15,0.77,Moderate Medicare Dependency,77770.47,19.5,12382.13,-17.03,9474.66,-21.28
267 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,2015,9247,,0.95,High Medicare Dependency,192052.15,,49702.82,,47340.61,
"746 - VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC",2014,72,,0.79,Moderate Medicare Dependency,36963.46,,12741.04,,10016.19,
"746 - VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC",2015,25,-65.28,0.8,Moderate Medicare Dependency,24033.44,-34.98,12699.52,-0.33,10151.28,1.35
117 - INTRAOCULAR PROCEDURES W/O CC/MCC,2014,14,,0.84,High Medicare Dependency,20193.0,,8213.0,,6931.0,
117 - INTRAOCULAR PROCEDURES W/O CC/MCC,2015,12,-14.29,0.84,High Medicare Dependency,21874.0,8.32,8545.0,4.04,7140.0,3.02
377 - G.I. HEMORRHAGE W MCC,2011,48398,,0.92,High Medicare Dependency,46459.45,,12730.23,,11730.83,
377 - G.I. HEMORRHAGE W MCC,2012,49590,2.46,0.92,High Medicare Dependency,48078.52,3.48,12925.5,1.53,11886.82,1.33
377 - G.I. HEMORRHAGE W MCC,2013,51031,2.91,0.89,High Medicare Dependency,50280.8,4.58,13297.88,2.88,11792.05,-0.8
377 - G.I. HEMORRHAGE W MCC,2014,53042,3.94,0.89,High Medicare Dependency,52085.73,3.59,13185.49,-0.85,11684.62,-0.91
377 - G.I. HEMORRHAGE W MCC,2015,56027,5.63,0.89,High Medicare Dependency,54593.96,4.82,13153.02,-0.25,11645.14,-0.34
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,2014,7519,,0.88,High Medicare Dependency,80598.14,,17836.36,,15633.67,
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,2015,7299,-2.93,0.88,High Medicare Dependency,83363.12,3.43,17536.45,-1.68,15348.02,-1.83
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,2011,206695,,0.83,High Medicare Dependency,19865.56,,5409.84,,4486.8,
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,2012,195346,-5.49,0.82,High Medicare Dependency,20888.8,5.15,5502.01,1.7,4539.16,1.17
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,2013,173271,-11.3,0.78,Moderate Medicare Dependency,22152.78,6.05,5595.27,1.7,4392.2,-3.24
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,2014,159823,-7.76,0.8,Moderate Medicare Dependency,23201.98,4.74,5948.23,6.31,4730.0,7.69
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,2015,150680,-5.72,0.79,Moderate Medicare Dependency,24000.01,3.44,5948.01,-0.0,4690.35,-0.84
940 - O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,2014,43,,0.96,High Medicare Dependency,40071.0,,21275.19,,20408.3,
940 - O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,2015,32,-25.58,0.89,High Medicare Dependency,36595.63,-8.67,18412.94,-13.45,16358.88,-19.84
975 - HIV W MAJOR RELATED CONDITION W CC,2014,655,,0.85,High Medicare Dependency,45788.28,,14581.55,,12437.92,
975 - HIV W MAJOR RELATED CONDITION W CC,2015,523,-20.15,0.83,High Medicare Dependency,48134.94,5.13,15937.21,9.3,13256.41,6.58
977 - HIV W OR W/O OTHER RELATED CONDITION,2014,249,,0.88,High Medicare Dependency,33786.12,,14071.05,,12359.3,
977 - HIV W OR W/O OTHER RELATED CONDITION,2015,167,-32.93,0.86,High Medicare Dependency,47056.5,39.28,15047.95,6.94,12866.82,4.11
"557 - TENDONITIS, MYOSITIS & BURSITIS W MCC",2014,98,,0.86,High Medicare Dependency,38168.52,,10251.08,,8795.62,
"557 - TENDONITIS, MYOSITIS & BURSITIS W MCC",2015,247,152.04,0.82,High Medicare Dependency,35122.93,-7.98,10439.51,1.84,8596.29,-2.27
103 - HEADACHES W/O MCC,2014,4423,,0.66,Moderate Medicare Dependency,26813.98,,6404.59,,4213.88,
103 - HEADACHES W/O MCC,2015,4066,-8.07,0.64,Moderate Medicare Dependency,27975.46,4.33,6600.17,3.05,4240.0,0.62
114 - ORBITAL PROCEDURES W/O CC/MCC,2014,11,,0.71,Moderate Medicare Dependency,73014.0,,11133.0,,7907.0,
114 - ORBITAL PROCEDURES W/O CC/MCC,2015,11,0.0,0.7,Moderate Medicare Dependency,55331.0,-24.22,12550.0,12.73,8772.0,10.94
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,2011,26412,,0.93,High Medicare Dependency,143768.95,,39075.23,,36451.73,
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,2012,23202,-12.15,0.94,High Medicare Dependency,146400.35,1.83,39734.45,1.69,37165.93,1.96
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,2013,24124,3.97,0.91,High Medicare Dependency,154743.84,5.7,41006.98,3.2,37216.34,0.14
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,2014,21164,-12.27,0.9,High Medicare Dependency,161194.13,4.17,38719.41,-5.58,34840.52,-6.38
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,2015,19174,-9.4,0.9,High Medicare Dependency,164296.34,1.92,38629.3,-0.23,34705.94,-0.39
224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,2014,73,,0.87,High Medicare Dependency,245555.62,,71943.29,,62764.88,
224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,2015,89,21.92,0.9,High Medicare Dependency,213055.67,-13.24,60240.65,-16.27,54330.8,-13.44
307 - CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,2014,561,,0.8,Moderate Medicare Dependency,28903.85,,8578.66,,6855.8,
307 - CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,2015,379,-32.44,0.76,Moderate Medicare Dependency,34818.96,20.46,8671.13,1.08,6613.53,-3.53
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,2011,16157,,0.8,Moderate Medicare Dependency,34635.74,,8062.49,,6443.03,
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,2014,9887,-38.81,0.77,Moderate Medicare Dependency,43024.02,24.22,8936.34,10.84,6922.65,7.44
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,2015,8704,-11.97,0.77,Moderate Medicare Dependency,45196.47,5.05,8827.85,-1.21,6832.56,-1.3
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,2014,11923,,0.83,High Medicare Dependency,74601.41,,19970.96,,16635.33,
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,2015,12039,0.97,0.83,High Medicare Dependency,77318.99,3.64,20017.55,0.23,16645.03,0.06
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",2011,20278,,0.78,Moderate Medicare Dependency,19464.25,,5171.73,,4016.57,
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",2012,18884,-6.87,0.78,Moderate Medicare Dependency,21049.6,8.14,5473.4,5.83,4274.16,6.41
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",2013,15688,-16.92,0.73,Moderate Medicare Dependency,22876.28,8.68,5693.96,4.03,4182.16,-2.15
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",2014,16867,7.52,0.75,Moderate Medicare Dependency,24188.28,5.74,6200.91,8.9,4676.52,11.82
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",2015,17603,4.36,0.75,Moderate Medicare Dependency,25368.1,4.88,6243.7,0.69,4697.16,0.44
826 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC,2014,13,,0.39,Low Medicare Dependency,130699.0,,82978.0,,32742.0,
902 - WOUND DEBRIDEMENTS FOR INJURIES W CC,2015,13,,0.87,High Medicare Dependency,64366.0,,25229.0,,22035.0,
031 - VENTRICULAR SHUNT PROCEDURES W MCC,2014,33,,0.92,High Medicare Dependency,110930.67,,25402.33,,23245.0,
031 - VENTRICULAR SHUNT PROCEDURES W MCC,2015,34,3.03,0.85,High Medicare Dependency,157541.94,42.02,38403.53,51.18,32561.18,40.08
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,2011,30212,,0.85,High Medicare Dependency,24792.94,,6963.13,,5936.91,
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,2012,26591,-11.99,0.85,High Medicare Dependency,26885.38,8.44,7328.8,5.25,6234.7,5.02
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,2013,22390,-15.8,0.79,Moderate Medicare Dependency,29015.76,7.92,7794.29,6.35,6172.52,-1.0
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,2014,20831,-6.96,0.81,High Medicare Dependency,32050.46,10.46,8736.37,12.09,7044.92,14.13
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,2015,20331,-2.4,0.8,Moderate Medicare Dependency,34014.32,6.13,8858.54,1.4,7124.75,1.13
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,2014,5542,,0.84,High Medicare Dependency,47754.01,,12852.8,,10747.04,
